city,betaLin,pvalLin,betaQuad,pvalQuad,yInt,predicted,modelOrderBestFit,continent
Charlotte,0.74,0.008,-0.797,0.007,0.256,0.198,quadratic,North America
Charlottetown,0.032,0.667,NA,NA,0.341,0.373,linear,North America
Chicago,0.167,0.024,NA,NA,0.14,0.307,linear,North America
Christchurch,1.195,0.001,-0.796,0.02,0.356,0.755,quadratic,Oceania
Cincinnati,0.03,0.695,NA,NA,0.181,0.211,linear,North America
Cleveland,0.064,0.261,NA,NA,0.24,0.305,linear,North America
Cobourg,0.052,0.56,NA,NA,0.166,0.218,linear,North America
Cologne,0.023,0.862,NA,NA,0.396,0.419,linear,Europe
Curitiba,-0.041,0.519,NA,NA,0.788,0.746,linear,South America
Denver,-0.044,0.703,NA,NA,0.21,0.166,linear,North America
Detroit,0.063,0.424,NA,NA,0.284,0.346,linear,North America
Edmonton,0.046,0.49,NA,NA,0.136,0.182,linear,North America
Elmira,-0.058,0.64,NA,NA,0.388,0.331,linear,North America
Everett,0.133,0.101,NA,NA,0.22,0.353,linear,North America
Fairbanks,0.016,0.731,NA,NA,0.08,0.095,linear,North America
Fergus,0.288,0.006,NA,NA,0.347,0.636,linear,North America
Fort_Collins,-0.083,0.425,NA,NA,0.127,0.044,linear,North America
Frankfurt,0.314,0.015,NA,NA,0.221,0.535,linear,Europe
Fredericton,-0.001,0.99,NA,NA,0.159,0.159,linear,North America
Freehold,-0.132,0.009,NA,NA,0.221,0.09,linear,North America
Georgetown,0.088,0.523,NA,NA,0.29,0.378,linear,North America
Ghent,0.173,0.065,NA,NA,0.096,0.269,linear,Europe
Glasgow,-0.245,0.064,NA,NA,0.435,0.19,linear,Europe
Guelph,0.286,0.012,NA,NA,0.172,0.457,linear,North America
Halifax,0.042,0.368,NA,NA,0.078,0.12,linear,North America
Halle,0.889,0.007,-0.715,0.034,0.079,0.254,quadratic,Europe
Helsinki,-0.024,0.455,NA,NA,0.055,0.031,linear,Europe
Hempstead,0.193,0.024,NA,NA,0.089,0.282,linear,North America
Hiroshima,-0.007,0.951,NA,NA,0.279,0.272,linear,Asia
Houston,0.642,0.003,-0.549,0.012,0.804,0.897,quadratic,North America
Indianapolis,0.036,0.389,NA,NA,0.091,0.126,linear,North America
Jacksonville,1.226,0,-0.951,0.003,0.616,0.891,quadratic,North America
Kalamazoo,0.015,0.779,NA,NA,0.237,0.252,linear,North America
Kingston,0.083,0.557,NA,NA,0.204,0.286,linear,North America
Kunming,-0.111,0.448,NA,NA,0.596,0.485,linear,Asia
Kyoto,-0.154,0.127,NA,NA,0.348,0.194,linear,Asia
La_Verne,0.087,0.267,NA,NA,0.101,0.188,linear,North America
Lake_Charles,0.497,0.112,-0.454,0.204,0.794,0.837,quadratic,North America
Landshut,-0.021,0.818,NA,NA,0.211,0.19,linear,Europe
Lansing,0.015,0.824,NA,NA,0.166,0.181,linear,North America
Lanzhou,-1.434,0.001,1.15,0.002,0.843,0.559,quadratic,Asia
Latacunga,0.232,0.062,NA,NA,0.213,0.446,linear,South America
Leiden,0.155,0.074,NA,NA,0.036,0.191,linear,Europe
Leuven,0.081,0.513,NA,NA,0.255,0.336,linear,Europe
Linkoping,-0.358,0.001,0.615,0,0.052,0.309,quadratic,Europe
Lisbon,-0.103,0.233,NA,NA,0.921,0.818,linear,Europe
Little_Rock,0.42,0.002,NA,NA,0.193,0.613,linear,North America
Loja,-0.528,0.009,0.743,0,0.173,0.388,quadratic,South America
London,0.566,0.018,-0.577,0.014,0.192,0.181,quadratic,North America
Los_Angeles,0.111,0.263,NA,NA,0.378,0.49,linear,North America
Louisville,-0.023,0.752,NA,NA,0.183,0.16,linear,North America
Madison,0.069,0.094,NA,NA,0.096,0.165,linear,North America
Manchester,0.19,0.15,NA,NA,0.258,0.448,linear,Europe
Medellin,0,0.269,NA,NA,0,0,linear,South America
Melbourne,0.26,0.099,NA,NA,0.526,0.786,linear,Oceania
Memphis,0.436,0,NA,NA,0.217,0.653,linear,North America
Mexico_City,-0.103,0.559,NA,NA,0.859,0.756,linear,North America
Minneapolis,0.018,0.512,NA,NA,0.027,0.045,linear,North America
Moncton,0.31,0.063,-0.319,0.061,0.08,0.071,quadratic,North America
Montreal,-0.079,0.482,NA,NA,0.488,0.409,linear,North America
Morelia,0.323,0.057,NA,NA,0.35,0.674,linear,North America
Muenster,0.467,0.001,NA,NA,0.019,0.486,linear,Europe
Munich,0.092,0.274,NA,NA,0.225,0.318,linear,Europe
New_Tecumseth,-0.043,0.413,NA,NA,0.303,0.26,linear,North America
New_York,0.165,0.011,NA,NA,0.09,0.255,linear,North America
Newcastle,0.303,0.098,NA,NA,0.387,0.69,linear,Oceania
Newhaven,0.163,0.018,NA,NA,0.138,0.301,linear,North America
Norfolk,0.353,0.001,NA,NA,0.229,0.582,linear,North America
Norrtalje,-0.11,0.008,NA,NA,0.158,0.048,linear,Europe
North_Bay,-0.023,0.801,NA,NA,0.296,0.273,linear,North America
Orangeville,0.055,0.676,NA,NA,0.337,0.393,linear,North America
Ottawa,-0.848,0.034,0.902,0.025,0.394,0.447,quadratic,North America
Palmerston_North,0.405,0,NA,NA,0.557,0.962,linear,Oceania
Paris,-0.087,0.447,NA,NA,0.693,0.607,linear,Europe
Parramata,2.178,0,-1.303,0.005,-0.072,0.803,quadratic,Oceania
Philadelphia,-0.012,0.87,NA,NA,0.199,0.188,linear,North America
Pittsburgh,0.095,0.169,NA,NA,0.168,0.263,linear,North America
Port_Hope,0.129,0.201,NA,NA,0.196,0.325,linear,North America
Portland,0.007,0.915,NA,NA,0.174,0.181,linear,North America
Portlandme,-0.028,0.67,NA,NA,0.17,0.143,linear,North America
Providence,0.117,0.039,NA,NA,0.137,0.253,linear,North America
Punta_Arenas,0.218,0.007,NA,NA,0.591,0.808,linear,South America
Quebec_City,0.075,0.388,NA,NA,0.374,0.448,linear,North America
Quito,0.58,0.044,-0.56,0.041,-0.003,0.017,quadratic,South America
Raleigh,0.089,0.426,NA,NA,0.357,0.446,linear,North America
Rancagua,0.056,0.629,NA,NA,0.695,0.751,linear,South America
Reading,0.702,0,NA,NA,0.159,0.862,linear,Europe
Rennes,-0.009,0.874,NA,NA,0.845,0.836,linear,Europe
Reutlingen,1.185,0.008,-0.94,0.029,0.143,0.387,quadratic,Europe
Rochester,-0.002,0.978,NA,NA,0.126,0.124,linear,North America
Rockford,0.024,0.623,NA,NA,0.099,0.124,linear,North America
Sacramento,0.334,0.002,NA,NA,0.297,0.631,linear,North America
Saint_Thomas,-0.122,0.264,NA,NA,0.417,0.294,linear,North America
Salem,0.181,0.111,NA,NA,0.264,0.445,linear,North America
Santa_Maria,0.159,0.464,NA,NA,0.563,0.722,linear,South America
Santiago,0.153,0.026,NA,NA,0.676,0.829,linear,South America
Sapporo,0.104,0.198,NA,NA,0.188,0.292,linear,Asia
Seattle,0.148,0.107,NA,NA,0.232,0.38,linear,North America
Shanghai,3.303,0,-2.197,0,-0.249,0.857,quadratic,Asia
Sioux_Falls,-0.907,0.006,0.961,0.004,0.259,0.313,quadratic,North America
St_Albert,0.064,0.238,NA,NA,0.144,0.208,linear,North America
St_Louis,0.112,0.068,NA,NA,0.173,0.285,linear,North America
Starkville,-0.056,0.489,NA,NA,0.825,0.769,linear,North America
Stockholm,-0.053,0.152,NA,NA,0.089,0.036,linear,Europe
Stratford,0.098,0.306,NA,NA,0.34,0.438,linear,North America
Stuttgart,-0.022,0.841,NA,NA,0.303,0.281,linear,Europe
Sudbury,-0.137,0.033,NA,NA,0.168,0.031,linear,North America
Tacoma,-0.033,0.716,NA,NA,0.25,0.217,linear,North America
Talca,-0.058,0.589,NA,NA,0.761,0.703,linear,South America
Tampa,0,0.204,NA,NA,1,1,linear,North America
Tehran,0.431,0.013,NA,NA,0.159,0.591,linear,Asia
Temuco,0.016,0.805,NA,NA,0.754,0.771,linear,South America
Thessaloniki,0.421,0.011,NA,NA,0.329,0.749,linear,Europe
Tokyo,0.066,0.381,NA,NA,0.176,0.242,linear,Asia
Toluca,0.631,0.059,NA,NA,0.389,1.02,linear,North America
Toronto,0.301,0,NA,NA,0.157,0.457,linear,North America
Trondheim,-0.022,0.561,NA,NA,0.06,0.039,linear,Europe
Uppsala,-0.026,0.18,NA,NA,0.031,0.005,linear,Europe
Uruapan,1.574,0.018,-1.526,0.012,0.528,0.576,quadratic,North America
Vancouver,0.243,0.004,NA,NA,0.121,0.364,linear,North America
Victoria,0.303,0.003,NA,NA,0.285,0.588,linear,North America
Warsaw,0,0.322,NA,NA,0,0,linear,Europe
Washington,0.205,0.006,NA,NA,0.14,0.345,linear,North America
Waterloo,-0.086,0.328,NA,NA,0.291,0.205,linear,North America
Whitchurch-Stouffville,0.034,0.702,NA,NA,0.295,0.329,linear,North America
Winnipeg,-0.018,0.66,NA,NA,0.089,0.071,linear,North America
Wollongong,0.629,0.001,NA,NA,0.075,0.704,linear,Oceania
Woodstock,0.028,0.775,NA,NA,0.378,0.405,linear,North America
Wuhan,-0.109,0.213,NA,NA,0.971,0.862,linear,Asia
Xalapa,0.027,0.753,NA,NA,0.073,0.1,linear,North America
Zurich,-0.011,0.933,NA,NA,0.582,0.571,linear,Europe
